"country","department","municipality","scale","COD","year","malaria_pVivax","malaria_pFalci"
"Venezuela","Bolivar/SUCRE","MOITACO","parroquia","VE071005",1997,0,0
"Venezuela","Bolivar/HERES","JOSE ANTONIO PAEZ","parroquia","VE070503",1997,0,0
"Venezuela","Bolivar/PIAR","A. E. BLANCO","parroquia","VE070602",1997,0,0
"Venezuela","Bolivar/HERES","ZEA","parroquia","VE070509",1997,0,0
"Venezuela","Bolivar/SIFONTES","SECCION CAPITAL SIFONTES","parroquia","VE070901",1997,0,0
"Venezuela","Bolivar/RAUL LEONI","S. C. RAUL LEONI","parroquia","VE070701",1997,0,0
"Venezuela","Bolivar/ROSCIO","SALOM","parroquia","VE070802",1997,0,0
"Venezuela","Bolivar/CEDEÑO","ALTAGRACIA","parroquia","VE070202",1997,2,2
"Venezuela","Bolivar/CEDEÑO","ASCENCION FARRERAS","parroquia","VE070203",1997,89,139
"Venezuela","Bolivar/PIAR","PEDRO COVA","parroquia","VE070603",1997,0,0
"Venezuela","Bolivar/ROSCIO","S. C. ROSCIO","parroquia","VE070801",1997,0,0
"Venezuela","Bolivar/SUCRE","LAS MAJADAS","parroquia","VE071004",1997,859,0
"Venezuela","Bolivar/CEDEÑO","SECCION CAPITAL CEDEÑO","parroquia","VE070201",1997,141,161
"Venezuela","Bolivar/EL CALLAO","C. EL CALLAO","parroquia","VE070301",1997,0,0
"Venezuela","Bolivar/RAUL LEONI","SANTA BARBARA","parroquia","VE070704",1997,0,0
"Venezuela","Bolivar/SUCRE","GUARATARO","parroquia","VE071003",1997,0,0
"Venezuela","Bolivar/SUCRE","S. C. SUCRE","parroquia","VE071001",1997,0,0
"Venezuela","Bolivar/RAUL LEONI","SAN FRANCISCO","parroquia","VE070703",1997,0,0
"Venezuela","Bolivar/SUCRE","ARIPAO","parroquia","VE071002",1997,0,0
"Venezuela","Bolivar/CEDEÑO","LA URBANA","parroquia","VE070205",1997,104,28
"Venezuela","Bolivar/SIFONTES","DALLA COSTA","parroquia","VE070902",1997,2,4
"Venezuela","Bolivar/CEDEÑO","GUANIAMO","parroquia","VE070204",1997,0,0
